Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total,goodsnum
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Basic Premium, Medicare Advantage, FSMI Trust Fund",-0.215,b,,,,-0.215,42
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Medicare Refunds, SMI",-4.4,b,,,,-4.4,43
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",-0.424,b,,,,-0.424,44
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions for Benefits, Prescription Drug Account, SMI",-56.194,b,,,,-56.194,45
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Aged, FSMI Fund",-54.735,b,,,,-54.735,46
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Manufacturer Rebates,-5.87,b,,,,-5.87,47
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Disabled, FSMI Fund",-10.513,b,,,,-10.513,48
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Taxation on OASDI Benefits",-20.811,b,,,,-20.811,49
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Basic Premium, Medicare Advantage",-0.225,b,,,,-0.225,50
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payment from the General Fund for Health Care Fraud and Abuse Control Account",-0.134,b,,,,-0.134,51
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Transfers from General Fund (criminal Fines)",-1.126,b,,,,-1.126,52
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Medicare Refunds",-5.8,b,,,,-5.8,53
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",-0.672,b,,,,-0.672,54
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",-3.552,b,,,,-3.552,55
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Payments to Health Care Trust Funds,273.401,b,,,,273.401,56
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,3.761,b,,,,3.761,57
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,264.336,b,,,,264.336,58
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,2.195,b,,,,2.195,59
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,281.418,b,,,,281.418,60
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0.399,b,,,,0.399,61
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",75.119,b,,,,75.119,62
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0.61,b,,,,0.61,63
#NAME?,Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0.767,b,,,,0.767,64
#NAME?,Health Care,Medical service,Federal Intergovernmental  Health and Hospitals (B42),,0,g,-28.2,0,0,-28.2,65
#NAME?,Health Care,Medical service,Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6,66
#NAME?,Health Care,Medical service,Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1,67
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Health Care,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0,68
#NAME?,Health Care,Medical service,Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4,69
#NAME?,Health Care,Medical service,Construction  Hospitals (F36),,0,g,0,2.2,4,6.2,70
--Construction - Hospitals - Other (Disc. 2005) (F38),Health Care,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0,71
#NAME?,Health Care,Medical service,Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6,72
#NAME?,Health Care,Medical service,Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2,73
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Health Care,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0,74
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,,,,0.115,75
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,,,,0.455,76
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,,,,0.373,77
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,,,,0.132,78
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,,,,0.051,79
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,,,,0.947,80
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496,81
--Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007) (B43),Health Care,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0,82
--Current Operations - Environmental Health (NEW for 2007) (E27),Health Care,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0,83
--Construction - Environmental Health (NEW for 2007) (F27),Health Care,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0,84
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),Health Care,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0,85
#NAME?,Health Care,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15,86
#NAME?,Health Care,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",-0.15,b,,,,-0.15,87
#NAME?,Health Care,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265,88
#NAME?,Health Care,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569,89
#NAME?,Health Care,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144,90
#NAME?,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194,91
#NAME?,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,-0.201,b,,,,-0.201,92
#NAME?,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712,93
#NAME?,Health Care,R&D Health,Health research and training (552),National Institutes of Health,30.314,b,,,,30.314,94
#NAME?,Health Care,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167,95
#NAME?,Health Care,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138,96
#NAME?,Health Care,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,-0.051,b,,,,-0.051,97
553,Health Care,R&D Health,-553,,0,,0,0,0,0,98
#NAME?,Health Care,Health n.e.c.,,,0,,0,0,0,0,99
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175,100
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Abandoned Mine Reclamation Fund,0.056,b,,,,0.056,101
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189,102
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2,103
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Department of Defense MedicareEligible Retiree Health Care Fund,9.727,b,,,,9.727,104
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Biodefense Countermeasures,0.282,b,,,,0.282,105
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97,106
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912,107
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Employees and Retired Employees Health Benefits Funds,-0.059,b,,,,-0.059,108
---United Mine Workers of America 1992 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068,109
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Transfers from Abandoned Mine Reclamation Fund,-0.056,b,,,,-0.056,110
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,-0.175,b,,,,-0.175,111
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134,112
---United Mine Workers of America 1993 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061,113
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359,114
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,2.463,b,,,,2.463,115
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,3.181,b,,,,3.181,116
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,1.679,b,,,,1.679,117
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242,118
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,4.161,b,,,,4.161,119
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,0.156,b,,,,0.156,120
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Facilities,0.397,b,,,,0.397,121
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,1.936,b,,,,1.936,122
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,3.458,b,,,,3.458,123
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077,124
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),World Trade Center Health Program Fund,0.161,b,,,,0.161,125
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965,126
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343,127
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097,128
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Rate Review Grants,0.08,b,,,,0.08,129
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055,130
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Affordable Insurance Exchange Grants,1.087,b,,,,1.087,131
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803,132
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Program Management,0.468,b,,,,0.468,133
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Grants to States for Medicaid,282.819,b,,,,282.819,134
---Children's Health Insurance Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Children's Health Insurance Fund,10.027,b,,,,10.027,135
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),State Grants and Demonstrations,0.474,b,,,,0.474,136
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09,137
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Child Enrollment Contingency Fund,0.2,b,,,,0.2,138
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health Insurance Reform Implementation Fund,0.344,b,,,,0.344,139
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418,140
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,0.374,b,,,,0.374,141
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,1.507,b,,,,1.507,142
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),General Departmental Management,0.426,b,,,,0.426,143
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,,,,0.526,144
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Miscellaneous Trust Funds,0.069,b,,,,0.069,145
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Office of the Inspector General,0.057,b,,,,0.057,146
#NAME?,Health Care,Vendor Payments (Welfare),Federal Intergovernmental  Public Welfare (B79),,0,g,-337.8,0,0,-337.8,147
"--Current Operations - Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Health Care,Vendor Payments (Welfare),"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,g,0,7.1,0,7.1,148
#NAME?,Health Care,Vendor Payments (Welfare),"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",,0,g,0,391.3,5.7,397,149
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.103,b,,,,0.103,150
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.673,b,,,,0.673,151
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Payment to Issuer of Qualified School Construction Bonds,0.82,b,,,,0.82,152
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,4.426,b,,,,4.426,153
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0.12,b,,,,0.12,154
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Indian Student Education,0.123,b,,,,0.123,155
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Impact Aid,1.26,b,,,,1.26,156
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Supporting Student Success,0.323,b,,,,0.323,157
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Accelerating Achievement and Ensuring Equity,15.364,b,,,,15.364,158
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,1.305,b,,,,1.305,159
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,0.494,b,,,,0.494,160
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",English Learner Education,0.685,b,,,,0.685,161
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,12.475,b,,,,12.475,162
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,0.208,b,,,,0.208,163
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Career, Technical and Adult Education",1.679,b,,,,1.679,164
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",American Jobs Act,19.577,b,,,,19.577,165
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Federal Payment for School Improvement,0.06,b,,,,0.06,166
#NAME?,Education,Preprimary thru secondary education,Federal Intergovernmental  Education (B21),,0,g,-104.4,0,0,-104.4,167
#NAME?,Education,Preprimary thru secondary education,Current Operations  Elementary and Secondary Education (E12),,0,g,0,5.5,407.8,413.3,168
#NAME?,Education,Preprimary thru secondary education,Construction  Elementary and Secondary Education (F12),,0,g,0,0.5,39.8,40.3,169
#NAME?,Education,Preprimary thru secondary education,Other Capital Outlay  Elementary and Secondary Education (G12),,0,g,0,0.4,16.7,17.1,170
#NAME?,Education,Tertiary education,Higher education (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,,,,7.541,171
#NAME?,Education,Tertiary education,Higher education (502),"Federal Family Education Loan Program, Negative Subsidies",-3.39,b,,,,-3.39,172
#NAME?,Education,Tertiary education,Higher education (502),"Federal Direct Student Loan Program, Negative Subsidies",-28.709,b,,,,-28.709,173
#NAME?,Education,Tertiary education,Higher education (502),"Federal Perkins Loan, Negative Subsidies",-0.648,b,,,,-0.648,174
#NAME?,Education,Tertiary education,Higher education (502),National Technical Institute for the Deaf,0.063,b,,,,0.063,175
#NAME?,Education,Tertiary education,Higher education (502),Gallaudet University,0.124,b,,,,0.124,176
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,0.361,b,,,,0.361,177
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,1.554,b,,,,1.554,178
#NAME?,Education,Tertiary education,Higher education (502),Higher Education,0.444,b,,,,0.444,179
#NAME?,Education,Tertiary education,Higher education (502),Howard University,0.234,b,,,,0.234,180
#NAME?,Education,Tertiary education,Higher education (502),Student Financial Assistance,24.105,b,,,,24.105,181
#NAME?,Education,Tertiary education,Higher education (502),Student Financial Assistance,13.553,b,,,,13.553,182
#NAME?,Education,Tertiary education,Higher education (502),Student Aid Administration,1.041,b,,,,1.041,183
#NAME?,Education,Tertiary education,Higher education (502),Student Aid Administration,0.29,b,,,,0.29,184
#NAME?,Education,Tertiary education,Higher education (502),Federal Family Education Loan Liquidating Account,-0.335,b,,,,-0.335,185
#NAME?,Education,Tertiary education,Higher education (502),Federal Student Loan Reserve Fund,0.244,b,,,,0.244,186
#NAME?,Education,Tertiary education,Current Operations  Higher Education Auxiliary Enterprises (E16),,0,g,0,21.7,2.2,24,187
#NAME?,Education,Tertiary education,Current Operations  Other Higher Education (E18),,0,g,0,170.3,35.7,206,188
#NAME?,Education,Tertiary education,Construction  Higher Education  Auxiliary Enterprises (F16),,0,g,0,4,0,4,189
#NAME?,Education,Tertiary education,Construction  Other Higher Education (F18),,0,g,0,18.2,4.2,22.4,190
#NAME?,Education,Tertiary education,Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),,0,g,0,0.3,0,0.3,191
#NAME?,Education,Tertiary education,Other Capital Outlay  Other Higher Education (G18),,0,g,0,5.1,1,6,192
#NAME?,Education,Education not definable by level,General science and basic research (251),Science,6.47,b,,,,6.47,193
#NAME?,Education,Education not definable by level,General science and basic research (251),Research and Related Activities,5.864,b,,,,5.864,194
#NAME?,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.88,b,,,,0.88,195
#NAME?,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.15,b,,,,0.15,196
#NAME?,Education,Education not definable by level,General science and basic research (251),Agency Operations and Award Management,0.296,b,,,,0.296,197
#NAME?,Education,Education not definable by level,General science and basic research (251),Major Research Equipment and Facilities Construction,0.254,b,,,,0.254,198
--Space flight (253),Education,Education not definable by level,Space flight (253),,0,,0,0,0,0,199
"--Space, science, applications, and technology (254)",Education,Education not definable by level,"Space, science, applications, and technology (254)",,0,,0,0,0,0,200
--Supporting space activities (255),Education,Education not definable by level,Supporting space activities (255),,0,,0,0,0,0,201
#NAME?,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.074,b,,,,0.074,202
#NAME?,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.476,b,,,,0.476,203
#NAME?,Education,Education not definable by level,Research and general education aids (503),Program Administration,0.452,b,,,,0.452,204
#NAME?,Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, Library of Congress",0.409,b,,,,0.409,205
#NAME?,Education,Education not definable by level,Research and general education aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,,,,0.053,206
#NAME?,Education,Education not definable by level,Research and general education aids (503),Corporation for Public Broadcasting,0.445,b,,,,0.445,207
#NAME?,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Arts: Grants and Administration,0.107,b,,,,0.107,208
#NAME?,Education,Education not definable by level,Research and general education aids (503),National Endowment for the Humanities: Grants and Administration,0.159,b,,,,0.159,209
#NAME?,Education,Education not definable by level,Research and general education aids (503),Salaries and Expenses,0.664,b,,,,0.664,210
#NAME?,Education,Education not definable by level,Research and general education aids (503),Facilities Capital,0.158,b,,,,0.158,211
#NAME?,Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, National Gallery of Art",0.129,b,,,,0.129,212
#NAME?,Education,Education not definable by level,Research and general education aids (503),Holocaust Memorial Museum,0.052,b,,,,0.052,213
#NAME?,Education,Education not definable by level,Research and general education aids (503),Office of Museum and Library Services: Grants and Administration,0.26,b,,,,0.26,214
#NAME?,Education,Education not definable by level,Training and employment (504),American Jobs Act,12.147,b,,,,12.147,215
#NAME?,Education,Education not definable by level,Training and employment (504),Program Administration,0.102,b,,,,0.102,216
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,2.919,b,,,,2.919,217
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.612,b,,,,0.612,218
#NAME?,Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.156,b,,,,0.156,219
#NAME?,Education,Education not definable by level,Training and employment (504),Community Service Employment for Older Americans,0.351,b,,,,0.351,220
#NAME?,Education,Education not definable by level,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0.078,b,,,,0.078,221
#NAME?,Education,Education not definable by level,Training and employment (504),Office of Job Corps,1.854,b,,,,1.854,222
